Kvote;Lærested;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Poenggrense
Førstegangsvitnemålskvote;HVL;Hovedopptak;203 162;Administrasjon og ledelse;Haugesund;ØKADM;2025;0
Ordinær kvote;HVL;Hovedopptak;203 162;Administrasjon og ledelse;Haugesund;ØKADM;2025;39.8
Førstegangsvitnemålskvote;HVL;Suppleringsopptak;203 162;Administrasjon og ledelse;Haugesund;ØKADM;2025;0
Ordinær kvote;HVL;Suppleringsopptak;203 162;Administrasjon og ledelse;Haugesund;ØKADM;2025;39.8
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2025;44.6
Ordinær kvote;OSLOMET;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2025;50.5
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2025;44.4
Ordinær kvote;OSLOMET;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2025;50.3
Førstegangsvitnemålskvote;INN;Hovedopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2025;0
Ordinær kvote;INN;Hovedopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2025;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2025;0
Ordinær kvote;INN;Suppleringsopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2025;0
Førstegangsvitnemålskvote;UIA;Hovedopptak;201 489;Akademisk e-sport;Grimstad;INFOTEKN;2025;0
Ordinær kvote;UIA;Hovedopptak;201 489;Akademisk e-sport;Grimstad;INFOTEKN;2025;0
Førstegangsvitnemålskvote;UIA;Suppleringsopptak;201 489;Akademisk e-sport;Grimstad;INFOTEKN;2025;0
Ordinær kvote;UIA;Suppleringsopptak;201 489;Akademisk e-sport;Grimstad;INFOTEKN;2025;0
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 540;Aktuarfag og dataanalyse;Bergen;REALFAG;2025;0
Ordinær kvote;UIB;Hovedopptak;184 540;Aktuarfag og dataanalyse;Bergen;REALFAG;2025;0
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 540;Aktuarfag og dataanalyse;Bergen;REALFAG;2025;-1
Ordinær kvote;UIB;Suppleringsopptak;184 540;Aktuarfag og dataanalyse;Bergen;REALFAG;2025;-1
Førstegangsvitnemålskvote;NMBU;Hovedopptak;192 298;Akvakultur;Ås;REALFAG;2025;0
Ordinær kvote;NMBU;Hovedopptak;192 298;Akvakultur;Ås;REALFAG;2025;0
Førstegangsvitnemålskvote;NMBU;Suppleringsopptak;192 298;Akvakultur;Ås;REALFAG;2025;0
Ordinær kvote;NMBU;Suppleringsopptak;192 298;Akvakultur;Ås;REALFAG;2025;0
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 709;Akvamedisin;Tromsø;REALFAG;2025;0
Ordinær kvote;UIT;Hovedopptak;186 709;Akvamedisin;Tromsø;REALFAG;2025;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 709;Akvamedisin;Tromsø;REALFAG;2025;0
Ordinær kvote;UIT;Suppleringsopptak;186 709;Akvamedisin;Tromsø;REALFAG;2025;0
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2025;0
Ordinær kvote;UIT;Hovedopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2025;41.5
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2025;0
Ordinær kvote;UIT;Suppleringsopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2025;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2025;0
Ordinær kvote;UIO;Hovedopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2025;52.2
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2025;0
Ordinær kvote;UIO;Suppleringsopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2025;52.2
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2025;0
Ordinær kvote;NTNU;Hovedopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2025;0
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2025;0
Ordinær kvote;NTNU;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2025;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2025;0
Ordinær kvote;UIO;Hovedopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2025;0
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2025;0
Ordinær kvote;UIO;Suppleringsopptak;185 922;Allmenn litteraturvitenskap, bachelor;Oslo;SPRÅK;2025;0
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2025;0
Ordinær kvote;NTNU;Hovedopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2025;0
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2025;0
Ordinær kvote;NTNU;Suppleringsopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2025;0
Førstegangsvitnemålskvote;NORD;Hovedopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2025;0
Ordinær kvote;NORD;Hovedopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2025;0
Førstegangsvitnemålskvote;NORD;Suppleringsopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2025;0
Ordinær kvote;NORD;Suppleringsopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2025;0
Førstegangsvitnemålskvote;HVO;Hovedopptak;223 451;Animasjon;Volda;ESTETISK;2025;0
Ordinær kvote;HVO;Hovedopptak;223 451;Animasjon;Volda;ESTETISK;2025;0
Førstegangsvitnemålskvote;HVO;Suppleringsopptak;223 451;Animasjon;Volda;ESTETISK;2025;0
Ordinær kvote;HVO;Suppleringsopptak;223 451;Animasjon;Volda;ESTETISK;2025;0
Førstegangsvitnemålskvote;INN;Hovedopptak;209 183;Animasjon og digital kunst;Hamar;ESTETISK;2025;0
Ordinær kvote;INN;Hovedopptak;209 183;Animasjon og digital kunst;Hamar;ESTETISK;2025;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 183;Animasjon og digital kunst;Hamar;ESTETISK;2025;0
Ordinær kvote;INN;Suppleringsopptak;209 183;Animasjon og digital kunst;Hamar;ESTETISK;2025;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2025;0
Ordinær kvote;UIO;Hovedopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2025;55.9
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2025;30.5
Ordinær kvote;UIO;Suppleringsopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2025;55.9
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2025;0
Ordinær kvote;NTNU;Hovedopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2025;0
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2025;0
Ordinær kvote;NTNU;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2025;0
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2025;38.6
Ordinær kvote;OSLOMET;Hovedopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2025;52.4
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2025;37.7
Ordinær kvote;OSLOMET;Suppleringsopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2025;52
Førstegangsvitnemålskvote;UIA;Hovedopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2025;0
Ordinær kvote;UIA;Hovedopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2025;0
Førstegangsvitnemålskvote;UIA;Suppleringsopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2025;0
Ordinær kvote;UIA;Suppleringsopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2025;0
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2025;0
Ordinær kvote;UIT;Hovedopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2025;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2025;0
Ordinær kvote;UIT;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2025;0
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2025;0
Ordinær kvote;UIB;Hovedopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2025;0
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2025;-1
Ordinær kvote;UIB;Suppleringsopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2025;-1
Førstegangsvitnemålskvote;VID;Hovedopptak;251 752;Anvendt psykologi;Oslo;SAMFUNN;2025;44.8
