Kvote;Lærested;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Poenggrense
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;;ØKADM;2022;46.3
Ordinær kvote;OSLOMET;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;;ØKADM;2022;50.8
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;;ØKADM;2022;45
Ordinær kvote;OSLOMET;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;;ØKADM;2022;49.4
Førstegangsvitnemålskvote;INN;Hovedopptak;209 320;Agronomi;;LANDOGHAVBRUK;2022;36.3
Ordinær kvote;INN;Hovedopptak;209 320;Agronomi;;LANDOGHAVBRUK;2022;39
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 320;Agronomi;;LANDOGHAVBRUK;2022;0
Ordinær kvote;INN;Suppleringsopptak;209 320;Agronomi;;LANDOGHAVBRUK;2022;0
Førstegangsvitnemålskvote;UIA;Hovedopptak;201 489;Akademisk e-sport;;INFOTEKN;2022;45.3
Ordinær kvote;UIA;Hovedopptak;201 489;Akademisk e-sport;;INFOTEKN;2022;51.4
Førstegangsvitnemålskvote;UIA;Suppleringsopptak;201 489;Akademisk e-sport;;INFOTEKN;2022;39.4
Ordinær kvote;UIA;Suppleringsopptak;201 489;Akademisk e-sport;;INFOTEKN;2022;46.7
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 540;Aktuarfag og dataanalyse;;REALFAG;2022;0
Ordinær kvote;UIB;Hovedopptak;184 540;Aktuarfag og dataanalyse;;REALFAG;2022;0
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 540;Aktuarfag og dataanalyse;;REALFAG;2022;-1
Ordinær kvote;UIB;Suppleringsopptak;184 540;Aktuarfag og dataanalyse;;REALFAG;2022;-1
Førstegangsvitnemålskvote;NMBU;Hovedopptak;192 298;Akvakultur;;REALFAG;2022;0
Ordinær kvote;NMBU;Hovedopptak;192 298;Akvakultur;;REALFAG;2022;0
Førstegangsvitnemålskvote;NMBU;Suppleringsopptak;192 298;Akvakultur;;REALFAG;2022;0
Ordinær kvote;NMBU;Suppleringsopptak;192 298;Akvakultur;;REALFAG;2022;0
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 709;Akvamedisin;;REALFAG;2022;46.7
Ordinær kvote;UIT;Hovedopptak;186 709;Akvamedisin;;REALFAG;2022;51.5
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 709;Akvamedisin;;REALFAG;2022;46.7
Ordinær kvote;UIT;Suppleringsopptak;186 709;Akvamedisin;;REALFAG;2022;51.5
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 615;Allmenn litteraturvitenskap;;SPRÅK;2022;0
Ordinær kvote;UIT;Hovedopptak;186 615;Allmenn litteraturvitenskap;;SPRÅK;2022;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 615;Allmenn litteraturvitenskap;;SPRÅK;2022;0
Ordinær kvote;UIT;Suppleringsopptak;186 615;Allmenn litteraturvitenskap;;SPRÅK;2022;0
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 615;Allmenn litteraturvitenskap, årsstudium;;SPRÅK;2022;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 615;Allmenn litteraturvitenskap, årsstudium;;SPRÅK;2022;42.5
Ordinær kvote;NTNU;Hovedopptak;194 615;Allmenn litteraturvitenskap, årsstudium;;SPRÅK;2022;0
Ordinær kvote;UIO;Hovedopptak;185 615;Allmenn litteraturvitenskap, årsstudium;;SPRÅK;2022;57.2
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;;SPRÅK;2022;0
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 615;Allmenn litteraturvitenskap, årsstudium;;SPRÅK;2022;42.5
Ordinær kvote;NTNU;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;;SPRÅK;2022;0
Ordinær kvote;UIO;Suppleringsopptak;185 615;Allmenn litteraturvitenskap, årsstudium;;SPRÅK;2022;57.2
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 456;Allmenn litteraturvitenskap, bachelor;;SPRÅK;2022;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 922;Allmenn litteraturvitenskap, bachelor;;SPRÅK;2022;0
Ordinær kvote;NTNU;Hovedopptak;194 456;Allmenn litteraturvitenskap, bachelor;;SPRÅK;2022;0
Ordinær kvote;UIO;Hovedopptak;185 922;Allmenn litteraturvitenskap, bachelor;;SPRÅK;2022;51.7
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 456;Allmenn litteraturvitenskap, bachelor;;SPRÅK;2022;0
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 922;Allmenn litteraturvitenskap, bachelor;;SPRÅK;2022;0
Ordinær kvote;NTNU;Suppleringsopptak;194 456;Allmenn litteraturvitenskap, bachelor;;SPRÅK;2022;0
Ordinær kvote;UIO;Suppleringsopptak;185 922;Allmenn litteraturvitenskap, bachelor;;SPRÅK;2022;51.7
Førstegangsvitnemålskvote;NORD;Hovedopptak;204 427;Animal Science;;HELSEFAG - VETERIN;2022;48.5
Ordinær kvote;NORD;Hovedopptak;204 427;Animal Science;;HELSEFAG - VETERIN;2022;47.5
Førstegangsvitnemålskvote;NORD;Suppleringsopptak;204 427;Animal Science;;HELSEFAG - VETERIN;2022;48.5
Ordinær kvote;NORD;Suppleringsopptak;204 427;Animal Science;;HELSEFAG - VETERIN;2022;47.5
Førstegangsvitnemålskvote;HVO;Hovedopptak;223 451;Animasjon;;ESTETISK;2022;-1
Ordinær kvote;HVO;Hovedopptak;223 451;Animasjon;;ESTETISK;2022;-1
Førstegangsvitnemålskvote;HVO;Suppleringsopptak;223 451;Animasjon;;ESTETISK;2022;-1
Ordinær kvote;HVO;Suppleringsopptak;223 451;Animasjon;;ESTETISK;2022;-1
Førstegangsvitnemålskvote;INN;Hovedopptak;209 183;Animasjon og digital kunst;;ESTETISK;2022;0
Ordinær kvote;INN;Hovedopptak;209 183;Animasjon og digital kunst;;ESTETISK;2022;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 183;Animasjon og digital kunst;;ESTETISK;2022;0
Ordinær kvote;INN;Suppleringsopptak;209 183;Animasjon og digital kunst;;ESTETISK;2022;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 609;Antikkens kultur;;HISTORIE;2022;43.1
Ordinær kvote;UIO;Hovedopptak;185 609;Antikkens kultur;;HISTORIE;2022;54.5
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 609;Antikkens kultur;;HISTORIE;2022;43.1
Ordinær kvote;UIO;Suppleringsopptak;185 609;Antikkens kultur;;HISTORIE;2022;54.5
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 459;Antikkens kultur og klassiske fag;;HISTORIE;2022;0
Ordinær kvote;NTNU;Hovedopptak;194 459;Antikkens kultur og klassiske fag;;HISTORIE;2022;0
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;;HISTORIE;2022;0
Ordinær kvote;NTNU;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;;HISTORIE;2022;0
