Kvote;Lærested;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Poenggrense
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 449;Anvendt datateknologi;;TEKNO - ANNET;2022;44.3
Ordinær kvote;OSLOMET;Hovedopptak;215 449;Anvendt datateknologi;;TEKNO - ANNET;2022;53.6
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 449;Anvendt datateknologi;;TEKNO - ANNET;2022;44
Ordinær kvote;OSLOMET;Suppleringsopptak;215 449;Anvendt datateknologi;;TEKNO - ANNET;2022;53.6
Førstegangsvitnemålskvote;UIA;Hovedopptak;201 479;Anvendt filosofi;;HISTORIE;2022;0
Ordinær kvote;UIA;Hovedopptak;201 479;Anvendt filosofi;;HISTORIE;2022;0
Førstegangsvitnemålskvote;UIA;Suppleringsopptak;201 479;Anvendt filosofi;;HISTORIE;2022;0
Ordinær kvote;UIA;Suppleringsopptak;201 479;Anvendt filosofi;;HISTORIE;2022;0
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 953;Anvendt fysikk og matematikk;;TEKNO - SIVING;2022;0
Ordinær kvote;UIT;Hovedopptak;186 953;Anvendt fysikk og matematikk;;TEKNO - SIVING;2022;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;;TEKNO - SIVING;2022;0
Ordinær kvote;UIT;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;;TEKNO - SIVING;2022;0
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 555;Anvendt matematikk;;REALFAG;2022;0
Ordinær kvote;UIB;Hovedopptak;184 555;Anvendt matematikk;;REALFAG;2022;0
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 555;Anvendt matematikk;;REALFAG;2022;-1
Ordinær kvote;UIB;Suppleringsopptak;184 555;Anvendt matematikk;;REALFAG;2022;-1
Førstegangsvitnemålskvote;NMBU;Hovedopptak;192 810;Anvendt robotikk;;TEKNO - SIVING;2022;47.5
Ordinær kvote;NMBU;Hovedopptak;192 810;Anvendt robotikk;;TEKNO - SIVING;2022;47.5
Førstegangsvitnemålskvote;NMBU;Suppleringsopptak;192 810;Anvendt robotikk;;TEKNO - SIVING;2022;47.5
Ordinær kvote;NMBU;Suppleringsopptak;192 810;Anvendt robotikk;;TEKNO - SIVING;2022;47.2
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 923;Arabisk språk med Midtøstens historie;;SPRÅK;2022;0
Ordinær kvote;UIB;Hovedopptak;184 923;Arabisk språk med Midtøstens historie;;SPRÅK;2022;0
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 923;Arabisk språk med Midtøstens historie;;SPRÅK;2022;0
Ordinær kvote;UIB;Suppleringsopptak;184 923;Arabisk språk med Midtøstens historie;;SPRÅK;2022;0
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 903;Arbeids- og organisasjonspsykologi;;SAMFUNN;2022;51.5
Ordinær kvote;UIB;Hovedopptak;184 903;Arbeids- og organisasjonspsykologi;;SAMFUNN;2022;56.2
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 903;Arbeids- og organisasjonspsykologi;;SAMFUNN;2022;51
Ordinær kvote;UIB;Suppleringsopptak;184 903;Arbeids- og organisasjonspsykologi;;SAMFUNN;2022;56
Førstegangsvitnemålskvote;HIØ;Hovedopptak;224 900;Arbeids- og velferdsfag;;HELSEFAG - ANNET;2022;0
Ordinær kvote;HIØ;Hovedopptak;224 900;Arbeids- og velferdsfag;;HELSEFAG - ANNET;2022;43.4
Førstegangsvitnemålskvote;HIØ;Suppleringsopptak;224 900;Arbeids- og velferdsfag;;HELSEFAG - ANNET;2022;0
Ordinær kvote;HIØ;Suppleringsopptak;224 900;Arbeids- og velferdsfag;;HELSEFAG - ANNET;2022;43.4
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2022;0
Ordinær kvote;UIT;Hovedopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2022;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2022;0
Ordinær kvote;UIT;Suppleringsopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2022;0
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 478;Arkeologi;;HISTORIE;2022;41.9
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 478;Arkeologi;;HISTORIE;2022;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 478;Arkeologi;;HISTORIE;2022;42
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 478;Arkeologi;;HISTORIE;2022;0
Ordinær kvote;NTNU;Hovedopptak;194 478;Arkeologi;;HISTORIE;2022;40.8
Ordinær kvote;UIB;Hovedopptak;184 478;Arkeologi;;HISTORIE;2022;0
Ordinær kvote;UIO;Hovedopptak;185 478;Arkeologi;;HISTORIE;2022;49.7
Ordinær kvote;UIT;Hovedopptak;186 478;Arkeologi;;HISTORIE;2022;0
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 478;Arkeologi;;HISTORIE;2022;38
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 478;Arkeologi;;HISTORIE;2022;0
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 478;Arkeologi;;HISTORIE;2022;42
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 478;Arkeologi;;HISTORIE;2022;0
Ordinær kvote;NTNU;Suppleringsopptak;194 478;Arkeologi;;HISTORIE;2022;40
Ordinær kvote;UIB;Suppleringsopptak;184 478;Arkeologi;;HISTORIE;2022;0
Ordinær kvote;UIO;Suppleringsopptak;185 478;Arkeologi;;HISTORIE;2022;49.7
Ordinær kvote;UIT;Suppleringsopptak;186 478;Arkeologi;;HISTORIE;2022;0
Førstegangsvitnemålskvote;AHO;Hovedopptak;189 030;Arkitekt*;;TEKNO - ARKITEKT;2022;143.47
Ordinær kvote;AHO;Hovedopptak;189 030;Arkitekt*;;TEKNO - ARKITEKT;2022;153.9
Førstegangsvitnemålskvote;AHO;Suppleringsopptak;189 030;Arkitekt*;;TEKNO - ARKITEKT;2022;143.47
Ordinær kvote;AHO;Suppleringsopptak;189 030;Arkitekt*;;TEKNO - ARKITEKT;2022;153.9
Førstegangsvitnemålskvote;USN;Hovedopptak;222 155;Arkitektonisk lysdesign;;TEKNO - ANNET;2022;0
Ordinær kvote;USN;Hovedopptak;222 155;Arkitektonisk lysdesign;;TEKNO - ANNET;2022;0
Førstegangsvitnemålskvote;USN;Suppleringsopptak;222 155;Arkitektonisk lysdesign;;TEKNO - ANNET;2022;0
Ordinær kvote;USN;Suppleringsopptak;222 155;Arkitektonisk lysdesign;;TEKNO - ANNET;2022;0
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 756;Arkitektur;;TEKNO - ARKITEKT;2022;55.6
Ordinær kvote;NTNU;Hovedopptak;194 756;Arkitektur;;TEKNO - ARKITEKT;2022;60
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 756;Arkitektur;;TEKNO - ARKITEKT;2022;55.6
Ordinær kvote;NTNU;Suppleringsopptak;194 756;Arkitektur;;TEKNO - ARKITEKT;2022;60
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 085;Arkiv, museum og dokumentasjonsforvaltning;;SAMFUNN;2022;0
Ordinær kvote;NTNU;Hovedopptak;194 085;Arkiv, museum og dokumentasjonsforvaltning;;SAMFUNN;2022;41
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 085;Arkiv, museum og dokumentasjonsforvaltning;;SAMFUNN;2022;0
Ordinær kvote;NTNU;Suppleringsopptak;194 085;Arkiv, museum og dokumentasjonsforvaltning;;SAMFUNN;2022;41
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 085;Arkivvitenskap;;MEDIEFAG;2022;0
Ordinær kvote;OSLOMET;Hovedopptak;215 085;Arkivvitenskap;;MEDIEFAG;2022;48.1
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 085;Arkivvitenskap;;MEDIEFAG;2022;0
Ordinær kvote;OSLOMET;Suppleringsopptak;215 085;Arkivvitenskap;;MEDIEFAG;2022;48.1
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 605;Arktisk friluftsliv;;IDRETT;2022;0
Ordinær kvote;UIT;Hovedopptak;186 605;Arktisk friluftsliv;;IDRETT;2022;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 605;Arktisk friluftsliv;;IDRETT;2022;0
Ordinær kvote;UIT;Suppleringsopptak;186 605;Arktisk friluftsliv;;IDRETT;2022;0
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 302;Arktisk friluftsliv og naturguiding;;IDRETT;2022;0
Ordinær kvote;UIT;Hovedopptak;186 302;Arktisk friluftsliv og naturguiding;;IDRETT;2022;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 302;Arktisk friluftsliv og naturguiding;;IDRETT;2022;0
Ordinær kvote;UIT;Suppleringsopptak;186 302;Arktisk friluftsliv og naturguiding;;IDRETT;2022;0
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 704;Audiologi;;HELSEFAG - AUDIO;2022;35
Ordinær kvote;NTNU;Hovedopptak;194 704;Audiologi;;HELSEFAG - AUDIO;2022;44.4
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 704;Audiologi;;HELSEFAG - AUDIO;2022;35
Ordinær kvote;NTNU;Suppleringsopptak;194 704;Audiologi;;HELSEFAG - AUDIO;2022;44.2
Førstegangsvitnemålskvote;AHS;Hovedopptak;255 418;Bærekraft og kultur;;SAMFUNN;2022;0
Ordinær kvote;AHS;Hovedopptak;255 418;Bærekraft og kultur;;SAMFUNN;2022;0
Førstegangsvitnemålskvote;AHS;Suppleringsopptak;255 418;Bærekraft og kultur;;SAMFUNN;2022;0
Ordinær kvote;AHS;Suppleringsopptak;255 418;Bærekraft og kultur;;SAMFUNN;2022;0
Førstegangsvitnemålskvote;HIM;Hovedopptak;211 389;Bærekraftig logistikk og sirkulær økonomi;;ØKADM;2022;0
Ordinær kvote;HIM;Hovedopptak;211 389;Bærekraftig logistikk og sirkulær økonomi;;ØKADM;2022;0
Førstegangsvitnemålskvote;HIM;Suppleringsopptak;211 389;Bærekraftig logistikk og sirkulær økonomi;;ØKADM;2022;0
Ordinær kvote;HIM;Suppleringsopptak;211 389;Bærekraftig logistikk og sirkulær økonomi;;ØKADM;2022;0
Førstegangsvitnemålskvote;INN;Hovedopptak;209 389;Bærekraftsøkonomi;;ØKADM;2022;0
Ordinær kvote;INN;Hovedopptak;209 389;Bærekraftsøkonomi;;ØKADM;2022;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 389;Bærekraftsøkonomi;;ØKADM;2022;0
Ordinær kvote;INN;Suppleringsopptak;209 389;Bærekraftsøkonomi;;ØKADM;2022;0
Førstegangsvitnemålskvote;DMMH;Hovedopptak;253 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HIØ;Hovedopptak;224 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HVO;Hovedopptak;223 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;INN;Hovedopptak;209 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;NLA;Hovedopptak;254 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;NORD;Hovedopptak;204 131;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;UIS;Hovedopptak;217 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;DMMH;Hovedopptak;253 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HIØ;Hovedopptak;224 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HVO;Hovedopptak;223 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;INN;Hovedopptak;209 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;NLA;Hovedopptak;254 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;NORD;Hovedopptak;204 131;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;OSLOMET;Hovedopptak;215 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;42
Ordinær kvote;UIS;Hovedopptak;217 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;DMMH;Suppleringsopptak;253 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HIØ;Suppleringsopptak;224 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HVO;Suppleringsopptak;223 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;NLA;Suppleringsopptak;254 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;NORD;Suppleringsopptak;204 131;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;UIS;Suppleringsopptak;217 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;DMMH;Suppleringsopptak;253 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HIØ;Suppleringsopptak;224 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HVO;Suppleringsopptak;223 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;INN;Suppleringsopptak;209 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;NLA;Suppleringsopptak;254 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;NORD;Suppleringsopptak;204 131;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;OSLOMET;Suppleringsopptak;215 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;42
Ordinær kvote;UIS;Suppleringsopptak;217 130;Barnehagelærer;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 131;Barnehagelærer, Alta, samlingsbasert;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;UIT;Hovedopptak;186 131;Barnehagelærer, Alta, samlingsbasert;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 131;Barnehagelærer, Alta, samlingsbasert;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;UIT;Suppleringsopptak;186 131;Barnehagelærer, Alta, samlingsbasert;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HVL;Hovedopptak;203 130;Barnehagelærer, Bergen;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HVL;Hovedopptak;203 130;Barnehagelærer, Bergen;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HVL;Suppleringsopptak;203 130;Barnehagelærer, Bergen;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HVL;Suppleringsopptak;203 130;Barnehagelærer, Bergen;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HIØ;Hovedopptak;224 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HVL;Hovedopptak;203 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HVO;Hovedopptak;223 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;UIS;Hovedopptak;217 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HIØ;Hovedopptak;224 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HVL;Hovedopptak;203 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HVO;Hovedopptak;223 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;OSLOMET;Hovedopptak;215 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;UIS;Hovedopptak;217 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HIØ;Suppleringsopptak;224 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HVL;Suppleringsopptak;203 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;HVO;Suppleringsopptak;223 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;UIS;Suppleringsopptak;217 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HIØ;Suppleringsopptak;224 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HVL;Suppleringsopptak;203 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;HVO;Suppleringsopptak;223 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;OSLOMET;Suppleringsopptak;215 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;UIS;Suppleringsopptak;217 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;NORD;Hovedopptak;204 135;Barnehagelærer, deltid, Bodø;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;NORD;Hovedopptak;204 135;Barnehagelærer, deltid, Bodø;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;NORD;Suppleringsopptak;204 135;Barnehagelærer, deltid, Bodø;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;NORD;Suppleringsopptak;204 135;Barnehagelærer, deltid, Bodø;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;NORD;Hovedopptak;204 132;Barnehagelærer, deltid, Nesna;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;NORD;Hovedopptak;204 132;Barnehagelærer, deltid, Nesna;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;NORD;Suppleringsopptak;204 132;Barnehagelærer, deltid, Nesna;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;NORD;Suppleringsopptak;204 132;Barnehagelærer, deltid, Nesna;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;USN;Hovedopptak;222 134;Barnehagelærer, deltid, Notodden;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;USN;Hovedopptak;222 134;Barnehagelærer, deltid, Notodden;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;USN;Suppleringsopptak;222 134;Barnehagelærer, deltid, Notodden;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;USN;Suppleringsopptak;222 134;Barnehagelærer, deltid, Notodden;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;DMMH;Hovedopptak;253 133;Barnehagelærer, deltid, Trondheim;;LÆRER - BHGLÆRER;2022;0
Ordinær kvote;DMMH;Hovedopptak;253 133;Barnehagelærer, deltid, Trondheim;;LÆRER - BHGLÆRER;2022;0
Førstegangsvitnemålskvote;DMMH;Suppleringsopptak;253 133;Barnehagelærer, deltid, Trondheim;;LÆRER - BHGLÆRER;2022;0
