Kvote;Lærested;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Poenggrense
Ordinær kvote;HVO;Hovedopptak;223 451;Animasjon;;ESTETISK;2020;-1
Førstegangsvitnemålskvote;HVO;Suppleringsopptak;223 451;Animasjon;;ESTETISK;2020;-1
Ordinær kvote;HVO;Suppleringsopptak;223 451;Animasjon;;ESTETISK;2020;-1
Førstegangsvitnemålskvote;INN;Hovedopptak;209 183;Animasjon og digital kunst;;ESTETISK;2020;0
Ordinær kvote;INN;Hovedopptak;209 183;Animasjon og digital kunst;;ESTETISK;2020;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 183;Animasjon og digital kunst;;ESTETISK;2020;0
Ordinær kvote;INN;Suppleringsopptak;209 183;Animasjon og digital kunst;;ESTETISK;2020;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 609;Antikkens kultur;;HISTORIE;2020;43.4
Ordinær kvote;UIO;Hovedopptak;185 609;Antikkens kultur;;HISTORIE;2020;55.7
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 609;Antikkens kultur;;HISTORIE;2020;43.4
Ordinær kvote;UIO;Suppleringsopptak;185 609;Antikkens kultur;;HISTORIE;2020;55.7
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 459;Antikkens kultur og klassiske fag;;HISTORIE;2020;0
Ordinær kvote;NTNU;Hovedopptak;194 459;Antikkens kultur og klassiske fag;;HISTORIE;2020;0
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;;HISTORIE;2020;0
Ordinær kvote;NTNU;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;;HISTORIE;2020;0
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 449;Anvendt datateknologi;;TEKNO - ANNET;2020;43.4
Ordinær kvote;OSLOMET;Hovedopptak;215 449;Anvendt datateknologi;;TEKNO - ANNET;2020;54.7
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 449;Anvendt datateknologi;;TEKNO - ANNET;2020;42.4
Ordinær kvote;OSLOMET;Suppleringsopptak;215 449;Anvendt datateknologi;;TEKNO - ANNET;2020;54
Førstegangsvitnemålskvote;UIA;Hovedopptak;201 479;Anvendt filosofi;;HISTORIE;2020;0
Ordinær kvote;UIA;Hovedopptak;201 479;Anvendt filosofi;;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIA;Suppleringsopptak;201 479;Anvendt filosofi;;HISTORIE;2020;0
Ordinær kvote;UIA;Suppleringsopptak;201 479;Anvendt filosofi;;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 953;Anvendt fysikk og matematikk;;TEKNO - SIVING;2020;0
Ordinær kvote;UIT;Hovedopptak;186 953;Anvendt fysikk og matematikk;;TEKNO - SIVING;2020;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;;TEKNO - SIVING;2020;0
Ordinær kvote;UIT;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;;TEKNO - SIVING;2020;0
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 555;Anvendt matematikk;;REALFAG;2020;0
Ordinær kvote;UIB;Hovedopptak;184 555;Anvendt matematikk;;REALFAG;2020;0
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 555;Anvendt matematikk;;REALFAG;2020;0
Ordinær kvote;UIB;Suppleringsopptak;184 555;Anvendt matematikk;;REALFAG;2020;0
Førstegangsvitnemålskvote;NMBU;Hovedopptak;192 810;Anvendt robotikk;;TEKNO - SIVING;2020;44.3
Ordinær kvote;NMBU;Hovedopptak;192 810;Anvendt robotikk;;TEKNO - SIVING;2020;50
Førstegangsvitnemålskvote;NMBU;Suppleringsopptak;192 810;Anvendt robotikk;;TEKNO - SIVING;2020;44.3
Ordinær kvote;NMBU;Suppleringsopptak;192 810;Anvendt robotikk;;TEKNO - SIVING;2020;50
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 923;Arabisk språk med Midtøstens historie;;SPRÅK;2020;0
Ordinær kvote;UIB;Hovedopptak;184 923;Arabisk språk med Midtøstens historie;;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 923;Arabisk språk med Midtøstens historie;;SPRÅK;2020;0
Ordinær kvote;UIB;Suppleringsopptak;184 923;Arabisk språk med Midtøstens historie;;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 903;Arbeids- og organisasjonspsykologi;;SAMFUNN;2020;50
Ordinær kvote;UIB;Hovedopptak;184 903;Arbeids- og organisasjonspsykologi;;SAMFUNN;2020;54.8
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 903;Arbeids- og organisasjonspsykologi;;SAMFUNN;2020;49.8
Ordinær kvote;UIB;Suppleringsopptak;184 903;Arbeids- og organisasjonspsykologi;;SAMFUNN;2020;54.7
Førstegangsvitnemålskvote;HIØ;Hovedopptak;224 900;Arbeids- og velferdsfag;;HELSEFAG - ANNET;2020;35.8
Ordinær kvote;HIØ;Hovedopptak;224 900;Arbeids- og velferdsfag;;HELSEFAG - ANNET;2020;45.9
Førstegangsvitnemålskvote;HIØ;Suppleringsopptak;224 900;Arbeids- og velferdsfag;;HELSEFAG - ANNET;2020;35.8
Ordinær kvote;HIØ;Suppleringsopptak;224 900;Arbeids- og velferdsfag;;HELSEFAG - ANNET;2020;45.9
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 319;Arctic Adventure Tourism;;REISELIV;2020;0
Ordinær kvote;UIT;Hovedopptak;186 319;Arctic Adventure Tourism;;REISELIV;2020;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 319;Arctic Adventure Tourism;;REISELIV;2020;0
Ordinær kvote;UIT;Suppleringsopptak;186 319;Arctic Adventure Tourism;;REISELIV;2020;0
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 478;Arkeologi;;HISTORIE;2020;37.9
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 478;Arkeologi;;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIO;Hovedopptak;185 478;Arkeologi;;HISTORIE;2020;40.4
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 478;Arkeologi;;HISTORIE;2020;0
Ordinær kvote;NTNU;Hovedopptak;194 478;Arkeologi;;HISTORIE;2020;43.4
Ordinær kvote;UIB;Hovedopptak;184 478;Arkeologi;;HISTORIE;2020;0
Ordinær kvote;UIO;Hovedopptak;185 478;Arkeologi;;HISTORIE;2020;50.1
Ordinær kvote;UIT;Hovedopptak;186 478;Arkeologi;;HISTORIE;2020;0
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 478;Arkeologi;;HISTORIE;2020;36
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 478;Arkeologi;;HISTORIE;2020;0
